rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image
360,https://www.afriquesports.net/afrique/cameroun-coup-de-tonnerre-le-remplacant-de-marc-brys-est-enfin-trouve,cameroun-coup-de-tonnerre-le-remplacant-de-marc-brys-est-enfin-trouve,fr,afrique,49,2719,1.80,10.8,868269,"Cameroun : coup de tonnerre, le remplaçant de Marc Brys est enfin trouvé !",true,2025-12-29,
362,https://www.afriquesports.net/afrique/scandale-total-plusieurs-lions-indomptables-prets-a-boycotter-la-can-2025,scandale-total-plusieurs-lions-indomptables-prets-a-boycotter-la-can-2025,fr,afrique,49,699,7.01,12.8,869530,Scandale total : plusieurs Lions Indomptables prêts à boycotter la CAN 2025 !,true,2026-01-01,
364,https://www.afriquesports.net/football/cest-officiel-la-caf-rend-son-verdict-pour-les-barrages-africains-de-la-coupe-du-monde-2026,cest-officiel-la-caf-rend-son-verdict-pour-les-barrages-africains-de-la-coupe-du-monde-2026,fr,football,49,4784,1.02,4.4,863203,C’est officiel ! La CAF rend son verdict pour les barrages africains de la Coupe du monde 2026,true,2025-12-31,
365,https://www.afriquesports.net/football/choc-en-france-un-joueur-decede-dune-crise-cardiaque-dans-le-vestiaire,choc-en-france-un-joueur-decede-dune-crise-cardiaque-dans-le-vestiaire,fr,football,49,3330,1.47,9.3,861623,Choc en France : un joueur décède d’une crise cardiaque dans le vestiaire,true,2025-12-26,
369,https://www.afriquesports.net/can-2025/en-direct-can-2025-afrique-du-sud-vs-angola-groupe-b-suivez-le-match-en-live,en-direct-can-2025-afrique-du-sud-vs-angola-groupe-b-suivez-le-match-en-live,fr,can-2025,48,9332,0.51,10.0,870888,"EN DIRECT / CAN 2025 : Afrique du sud vs Angola – Groupe B, suivez le match en live !",true,2026-01-02,
370,https://www.afriquesports.net/europe/man-city-phil-foden-clot-le-debat-entre-messi-et-ronaldo-cest-lui-le-meilleur,man-city-phil-foden-clot-le-debat-entre-messi-et-ronaldo-cest-lui-le-meilleur,fr,europe,48,710,6.76,11.8,539736,Man City: Phil Foden clôt le débat entre Messi et Ronaldo : « C&rsquo;est lui le meilleur »,true,2026-01-02,
371,https://www.afriquesports.net/football/exclusion-disrael-les-stars-ont-tranche,exclusion-disrael-les-stars-ont-tranche,fr,football,48,344,13.95,11.9,861560,Exclusion d’Israël ? Les stars ont tranché,true,2025-12-30,
372,https://www.afriquesports.net/football/liverpool-real-madrid-le-penalty-rate-de-mbappe-enflamme-la-toile-video,liverpool-real-madrid-le-penalty-rate-de-mbappe-enflamme-la-toile-video,fr,football,48,1932,2.48,7.8,834119,Liverpool &#8211; Real Madrid : le pénalty raté de Mbappé enflamme la toile (vidéo),true,2026-01-02,
373,https://www.afriquesports.net/football/un-jeune-talent-senegalais-en-route-vers-manchester-united,un-jeune-talent-senegalais-en-route-vers-manchester-united,fr,football,48,1482,3.24,7.1,862565,Un jeune talent sénégalais en route vers Manchester United !,true,2025-12-30,
375,https://www.afriquesports.net/afrique/marc-brys-dans-la-tourmente-un-grand-nom-du-football-senegalais-balance,marc-brys-dans-la-tourmente-un-grand-nom-du-football-senegalais-balance,fr,afrique,47,1701,2.76,12.0,863806,Marc Brys dans la tourmente : un grand nom du football sénégalais balance !,true,2026-01-02,
377,https://www.afriquesports.net/europe/neymar-devoile-le-nom-du-joueur-le-plus-moche-et-il-vient-du-real-madrid,neymar-devoile-le-nom-du-joueur-le-plus-moche-et-il-vient-du-real-madrid,fr,europe,47,11085,0.42,11.9,854246,Neymar dévoile le nom du joueur « le plus moche »… et il vient du Real Madrid !,true,2025-12-30,
378,https://www.afriquesports.net/europe/tragique-nouvelle-un-espoir-espagnol-du-football-decede-a-15-ans,tragique-nouvelle-un-espoir-espagnol-du-football-decede-a-15-ans,fr,europe,47,406,11.58,11.3,864923,Tragique nouvelle : un espoir espagnol du football décède à 15 ans,true,2025-12-25,
380,https://www.afriquesports.net/football/lamine-yamal-dans-la-tourmente-le-barca-confronte-a-un-coup-dur,lamine-yamal-dans-la-tourmente-le-barca-confronte-a-un-coup-dur,fr,football,47,4715,1.00,6.5,863104,"Lamine Yamal dans la tourmente, le Barça confronté à un coup dur",true,2026-01-02,
381,https://www.afriquesports.net/football/lannonce-choc-sur-lavenir-de-jurgen-klopp,lannonce-choc-sur-lavenir-de-jurgen-klopp,fr,football,47,1545,3.04,4.5,869718,L’annonce choc sur l’avenir de Jürgen Klopp !,true,2026-01-02,
382,https://www.afriquesports.net/football/real-madrid-jude-bellingham-passe-a-la-vitesse-superieur-avec-une-demande-inattendue,real-madrid-jude-bellingham-passe-a-la-vitesse-superieur-avec-une-demande-inattendue,fr,football,47,2902,1.62,6.5,871486,Real Madrid : Jude Bellingham passe à la vitesse supérieure avec une demande inattendue !,true,2026-01-02,
383,https://www.afriquesports.net/football/video-mbappe-tient-ses-parties-intimes-dans-le-vestiaire-apres-psg-auxerre-la-toile-senflamme,video-mbappe-tient-ses-parties-intimes-dans-le-vestiaire-apres-psg-auxerre-la-toile-senflamme,fr,football,47,646,7.28,12.2,544817,"VIDÉO : Mbappé tient ses parties intimes dans le vestiaire après PSG-Auxerre, la toile s&rsquo;enflamme",true,2026-01-02,
384,https://www.afriquesports.net/afrique-sports-tv/cristiano-ronaldo-inscrit-son-953e-but-video,cristiano-ronaldo-inscrit-son-953e-but-video,fr,afrique-sports-tv,46,576,7.99,9.6,866230,Cristiano Ronaldo inscrit son 953e but (VIDEO),true,2025-12-30,
386,https://www.afriquesports.net/afrique/incroyable-cristiano-ronaldo-a-des-origines-africaines,incroyable-cristiano-ronaldo-a-des-origines-africaines,fr,afrique,46,3362,1.37,19.3,388716,"Incroyable, Cristiano Ronaldo a des origines africaines",true,2025-12-31,
388,https://www.afriquesports.net/can-2025/caf-une-annonce-inattendue-secoue-la-preparation-de-la-can-2025,caf-une-annonce-inattendue-secoue-la-preparation-de-la-can-2025,fr,can-2025,46,3470,1.33,5.3,863359,CAF : une annonce inattendue secoue la préparation de la CAN 2025,true,2026-01-02,
389,https://www.afriquesports.net/can-2025/can-2025-le-grand-favori-cest-claude-le-roy-zappe-le-senegal-et-choisit-son-favori,can-2025-le-grand-favori-cest-claude-le-roy-zappe-le-senegal-et-choisit-son-favori,fr,can-2025,46,4623,1.00,6.3,871683,"CAN 2025 : « Le grand favori, c’est… » : Claude Le Roy zappe le Sénégal et choisit son favori",true,2026-01-02,
390,https://www.afriquesports.net/can-2025/la-caf-fait-une-annonce-inattendue-un-pays-quitte,la-caf-fait-une-annonce-inattendue-un-pays-quitte,fr,can-2025,46,7645,0.60,3.8,870580,"La CAF fait une annonce inattendue, un pays quitte…",true,2026-01-02,
392,https://www.afriquesports.net/football/fc-barcelone-lewandowski-met-fin-aux-speculations-sa-decision-est-connue,fc-barcelone-lewandowski-met-fin-aux-speculations-sa-decision-est-connue,fr,football,46,3460,1.33,8.3,863221,"FC Barcelone : Lewandowski met fin aux spéculations, sa décision est connue",true,2026-01-02,
393,https://www.afriquesports.net/football/gabon-deces-tragique-daaron-boupendza-apres-une-chute-du-11e-etage,gabon-deces-tragique-daaron-boupendza-apres-une-chute-du-11e-etage,fr,football,46,1565,2.94,20.7,845500,Gabon : Décès tragique d’Aaron Boupendza après une chute du 11e étage,true,2025-12-25,
394,https://www.afriquesports.net/football/ghana-les-images-terrifiantes-de-violence-apres-la-defaite-historique-des-black-stars-a-domicile,ghana-les-images-terrifiantes-de-violence-apres-la-defaite-historique-des-black-stars-a-domicile,fr,football,46,355,12.96,14.2,822361,Ghana : Les images terrifiantes de violence après la défaite historique des Black Stars à domicile,true,2025-12-25,
395,https://www.afriquesports.net/football/neymar-se-lache-sur-le-senegal-une-phrase-qui-enflamme-les-reseaux-sociaux,neymar-se-lache-sur-le-senegal-une-phrase-qui-enflamme-les-reseaux-sociaux,fr,football,46,1359,3.38,7.2,863807,Neymar se lâche sur le Sénégal : une phrase qui enflamme les réseaux sociaux,true,2025-12-31,
397,https://www.afriquesports.net/afrique/tragedie-dans-le-football-un-joueur-decede-apres-avoir-avale-une-piece-de-monnaie-lors-dun-match,tragedie-dans-le-football-un-joueur-decede-apres-avoir-avale-une-piece-de-monnaie-lors-dun-match,fr,afrique,45,1131,3.98,9.4,870932,Tragédie dans le football : un joueur décède après avoir avalé une pièce de monnaie lors d’un match,true,2026-01-01,
398,https://www.afriquesports.net/can-2025/can-2025-voici-les-adversaires-que-le-senegal-devra-battre-pour-atteindre-la-finale,can-2025-voici-les-adversaires-que-le-senegal-devra-battre-pour-atteindre-la-finale,fr,can-2025,45,1466,3.07,5.8,872238,CAN 2025 : voici les adversaires que le Sénégal devra battre pour atteindre la finale,true,2026-01-02,
400,https://www.afriquesports.net/football/le-bayern-munich-en-deuil-un-joueur-de-18-ans-decede-subitement,le-bayern-munich-en-deuil-un-joueur-de-18-ans-decede-subitement,fr,football,45,594,7.58,4.8,871976,Le Bayern Munich en deuil : un joueur de 18 ans décède subitement,true,2026-01-02,
404,https://www.afriquesports.net/football/coup-de-tonnerre-au-real-madrid-un-cadre-sen-va,coup-de-tonnerre-au-real-madrid-un-cadre-sen-va,fr,football,44,1727,2.55,8.2,863403,Coup de tonnerre au Real Madrid : un cadre s’en va !,true,2026-01-01,
406,https://www.afriquesports.net/afrique/sadio-mane-et-9-autres-stars-africaines-qui-ont-joue-avec-cristiano-ronaldo,sadio-mane-et-9-autres-stars-africaines-qui-ont-joue-avec-cristiano-ronaldo,fr,afrique,43,1080,3.98,6.9,671802,Sadio Mané et 9 autres stars africaines qui ont joué avec Cristiano Ronaldo,true,2026-01-02,
