rank,url,clicks,post_id
241,https://www.afriquesports.net/classement/10-joueurs-africains-plus-genereux,75,681171
242,https://www.afriquesports.net/europe/tragedie-une-legende-de-fc-barcelone-assassinee-le-monde-du-football-sous-le-choc,75,870201
243,https://www.afriquesports.net/football/assane-diao-enfin-fixe-le-verdict-officiel-est-connu,75,862570
244,https://www.afriquesports.net/football/gianni-infantino-sexprime-sur-le-globe-soccer-awards,75,325099
245,https://www.afriquesports.net/can-2025/can-2025-verdict-tombe-pour-edouard-mendy-a-deux-jours-du-choc-contre-la-rdc,74,871440
247,https://www.afriquesports.net/football/drame-absolu-le-monde-sportif-sous-le-choc-apres-la-mort-tragique-dune-star-en-pleine-rue,73,863027
248,https://www.afriquesports.net/football/huitiemes-de-finale-de-la-can-2025-calendrier-officiel-dates-et-heures-des-matchs,73,871945
250,https://www.afriquesports.net/classement/ronaldo-4e-les-10-joueurs-avec-le-plus-grand-nombre-de-notes-de-match-de-10-10-depuis-2015,72,720140
251,https://www.afriquesports.net/football/la-fif-annonce-le-deces-de-terrible-nouvelle-le-monde-du-football-ivoirien-en-deuil,72,855655
252,https://www.afriquesports.net/senegal/le-nouveau-club-de-lamine-camara-enfin-devoile,72,872048
254,https://www.afriquesports.net/cameroun/nabil-djellit-surprend-et-balance-apres-la-victoire-du-cameroun-sur-le-gabon,71,871461
255,https://www.afriquesports.net/ligue-des-champions/liverpool-real-madrid-le-penalty-rate-de-mbappe-enflamme-la-toile-video,71,834119
258,https://www.afriquesports.net/ballon-dor/la-verite-eclate-pourquoi-didier-drogba-a-ete-ecarte-du-ballon-dor-2025,70,859457
259,https://www.afriquesports.net/europe/cest-fait-le-real-madrid-degaine-la-recrue-tant-attendue-pour-xabi-alonso,70,863537
261,https://www.afriquesports.net/europe/le-real-madrid-a-deja-choisi-le-successeur-de-thibaut-courtois,69,863222
263,https://www.afriquesports.net/autres/messi-24e-pele-43e-bolt-4e-les-50-plus-grands-sportifs-de-tous-les-temps-gms,68,410008
264,https://www.afriquesports.net/classement/ronaldo-8e-messi-3e-zidane-le-top-20-des-meilleurs-dribbleurs-du-21e-siecle,68,502752
265,https://www.afriquesports.net/coupe-du-monde/senegal-vs-soudan-la-fifa-tranche-et-surprend-tout-le-monde,68,856100
267,https://www.afriquesports.net/football/senegal-botswana-sous-la-pluie-le-geste-dedouard-mendy-fait-le-buzz-a-la-can-photo,68,871222
268,https://www.afriquesports.net/afrique/satou-toure-la-mere-de-sadio-mane-explique-la-raison-pour-laquelle-il-a-rejoint-al-nassr,67,696360
269,https://www.afriquesports.net/ballon-dor/ballon-dor-2025-le-classement-final-prend-forme-grosse-surprise-en-tete,67,853155
271,https://www.afriquesports.net/algerie/mbappe-et-la-can-2025-sa-decision-entre-algerie-et-cameroun-cree-la-polemique,66,871870
274,https://www.afriquesports.net/football/ancelotti-sort-du-silence-et-dit-ses-verites-sur-le-senegal,66,863746
