rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image,is_working
430,https://www.afriquesports.net/afrique/cote-divoire/terrible-nouvelle-le-monde-du-football-ivoirien-en-deuil-la-fif-annonce-le-deces-de,terrible-nouvelle-le-monde-du-football-ivoirien-en-deuil-la-fif-annonce-le-deces-de,fr,afrique,41,718,5.71,26.8,,,,,,False
433,https://www.afriquesports.net/afrique/senegal/eliminatoires-mondial-2026-le-senegal-annonce-un-renfort-de-taille-contre-la-mauritanie,eliminatoires-mondial-2026-le-senegal-annonce-un-renfort-de-taille-contre-la-mauritanie,fr,afrique,41,1825,2.25,3.2,,,,,,False
438,https://www.afriquesports.net/en/football/the-shocking-revelations-about-desailly-and-his-financial-troubles,the-shocking-revelations-about-desailly-and-his-financial-troubles,en,football,41,2179,1.88,8.2,,,,,,False
440,https://www.afriquesports.net/europe/real-madrid-inquiete-un-joueur-important-pourrait-etre-forfait-contre-le-barca,real-madrid-inquiete-un-joueur-important-pourrait-etre-forfait-contre-le-barca,fr,europe,41,4242,0.97,19.2,,,,,,False
445,https://www.afriquesports.net/football/mbappe-le-dilemme-algerien-ou-camerounais-apres-ma-af-1766701814024,mbappe-le-dilemme-algerien-ou-camerounais-apres-ma-af-1766701814024,fr,football,41,2386,1.72,5.7,,,,,,False
452,https://www.afriquesports.net/football/10-citations-celebres-de-sadio-mane,10-citations-celebres-de-sadio-mane,fr,football,40,310,12.90,8.7,,,,,,False
453,https://www.afriquesports.net/football/can-2025-senegal-et-rd-congo-un-duel-au-sommet-af-1766831487547,can-2025-senegal-et-rd-congo-un-duel-au-sommet-af-1766831487547,fr,football,40,7886,0.51,3.9,,,,,,False
458,https://www.afriquesports.net/afrique/senegal/vie-apres-carriere-la-legende-du-senegal-souleymane-camara-devient-imam,vie-apres-carriere-la-legende-du-senegal-souleymane-camara-devient-imam,fr,afrique,39,1151,3.39,11.4,,,,,,False
459,https://www.afriquesports.net/autres/francis-ngannou-vs-renan-ferreira-comment-regarder-le-combat-en-direct,francis-ngannou-vs-renan-ferreira-comment-regarder-le-combat-en-direct,fr,autres,39,570,6.84,53.3,,,,,,False
468,https://www.afriquesports.net/football/behaja-randriamalala-us-monastir,behaja-randriamalala-us-monastir,fr,football,39,248,15.73,7.1,,,,,,False
478,https://www.afriquesports.net/afrique/senegal/match-amical-senegal-vs-bresil-le-verdict-officiel-est-tombe,match-amical-senegal-vs-bresil-le-verdict-officiel-est-tombe,fr,afrique,38,3564,1.07,8.3,,,,,,False
485,https://www.afriquesports.net/en/non-classe/samuel-etoo-shocks-football-world-with-fifa-appoin-rm-1759937485542,samuel-etoo-shocks-football-world-with-fifa-appoin-rm-1759937485542,en,non-classe,38,1580,2.41,8.0,,,,,,False
487,https://www.afriquesports.net/foot/absents-can-2025-guirassy-gouiri-wissa,absents-can-2025-guirassy-gouiri-wissa,fr,foot,38,2351,1.62,5.3,,,,,,False
